titre,lien,date_pub,place,prix_partir,prix_m,standing,description
Next House Villas,https://www.mubawab.ma/fr/p/718/next-house-villas,Publié il y a plus de 6 mois,Dar Bouazza,À partir de 4 100 000 DH,Not found!,"['Haut standing', 'Finalisé', 'Livraison juillet 2017']","Next House accueille de spacieuses villas qui se distinguent par leurs volumes baignés de lumière et par leur agencement pensé dans les moindres détails afin de répondre aux attentes les plus exigeantes.
Chaque villa est dotée d’uneprivative et se prolonge vers l’extérieur par le biais de larges terrasses et d’agréables jardins.

Un solarium sur le toit est par ailleurs prévu.

Les villas se déclinent en 5 catégories :
Villa Ambre : villa en bande de 4 chambres
Villa Jade : villa en bande de 4 chambres
Villa Nacre : villa jumelée de 4 chambres
Villa Opale : villa jumelée de 4 chambres
Villa Améthyste : villa jumelée de 4 chambres
Les 5 types de villas proposent différentes superficies (au sol et construites) et diverses combinaisons d’agencements.

Lumineuses, fonctionnelles, ouvertes sur de larges terrasses, les villas de Next House offrent une expérience unique. Sensations d’espace et de sérénité garanties !

A seulement 300 mètres de la mer, dans un superbe cadre de verdure, Next House bénéficie d’un emplacement exceptionnel. Située à Dar Bouazza, à seulement 10 minutes du Morocco Mall, Next House est le lieu idéal pour profiter de la proximité de la ville et de ses avantages sans son agitation.
Habiter Next House, c’est profiter à chaque instant de la douceur de vivre offerte par Dar Bouazza.

La mission belge et l’école américaine George Washington se trouvent à Dar Bouazza, à une courte distance de la résidence. Par ailleurs, tous les commerces de proximité (pressing, spa, superette, marché etc.) avoisinent Next House, sans compter d’autres commodités en cours de réalisation.

Golf de 18 trous, Aquapark, école de surf, centres de remise en forme, ferme pédagogique, plages privées, hôtels de
prestige… autant de loisirs pour se détendre à proximité de votre résidence


2ème tranche prête à la livraison ."
Serena Park BOUSKOURA,https://www.mubawab.ma/fr/p/1277/serena-park-bouskoura,Publié il y a plus de 6 mois,Bouskoura,À partir de 3 800 000 DH,Not found!,"['Haut standing', 'Finalisé', 'Livraison janvier 2018']","Au cœur de la nouvelle ville verte de Bouskoura, Serena Park vous offre un niveau de prestations inégalé.

Découvrez vite cette somptueuse résidence de très haut standing située en bordure de forêt.

Le projet SERENA Park ambitionne de combler un segment important de clientèle en proposant une superficie globale de 25 922 m², comprenant 7837 m² d’espaces verts et une piscine de 1000 m².

Cet édifice, construit sous forme de complexes résidentiels, comprend 14 immeubles regroupant 96 appartements de très haut standing parfaitement finis en plus de 2 places de parking pour chaque appartement. Autrement dit, une qualité supérieure alliant confort au quotidien et prestige. Ce projet propose six à neuf appartements seulement par immeuble sur deux étages (R+2), conférant ainsi une large superficie aménagée pour chaque appartement.

L'architecture moderne et authentique, en plus du choix raffiné et sophistiqué des couleurs s'expriment sur des surfaces variant de 200 m² à 425 m², avec jardins privatifs au rez-de-chaussée.
Serena Park offre tout ce dont vous rêvez : Un cadre raffiné, le luxe de grandes surfaces lumineuses, la tranquillité d’esprit, la proximité avec la ville… une véritable qualité de vie pour une clientèle exigeante.

En plus de toutes ses qualités, Serena Park est un projet immobilier entièrement fini et prêt à vivre, dès maintenant !

UN CADRE IDYLLIQUE

Le projet architectural a été conçu comme un complexe résidentiel R+2 composé de 14 immeubles.

Chacun accueille entre 6 et 9 appartements seulement. L'ensemble de la propriété se situe en bordure de forêt, sans vis-à-vis et offre des vues imprenables sur la nature.

Côté intérieur, la vue sur l'immense piscine comprenant une belle fontaine, invite à la détente et à la sérénité.

Les espaces verts entretenus apportent une touche finale à ce cadre exceptionnel."
Lotissement Farah Californie,https://www.mubawab.ma/fr/p/3148/lotissement-farah-californie,Publié il y a plus de 6 mois,Californie à Casablanca,À partir de 3 420 000 DH,5 700DH / m²,['Finalisé'],"Lotissement Farah Californie vous propose des lots de terrains destinés à la construction des villas isolées.
Un emplacement idéal, des superficies variées à partir de 600 m² et un prix toute concurrence, 5700 dh/m² .
Pour plus d’informations n’hésitez pas à nous contacter."
Résidence Lilya,https://www.mubawab.ma/fr/p/3320/r%C3%A9sidence-lilya,Publié il y a plus de 6 mois,Ain Chock à Casablanca,À partir de 858 000 DH,Not found!,"['Haut standing', 'Finalisé', 'Livraison décembre 2021']","Situé aux abords du Boulevard Tah dans les hauteurs d’Ain chock, La Résidence Lilya offre des appartements contemporains à la vue imprenable sur Casablanca. En effet, de votre terrasse vous pourrez admirer la mosquée Hassan II, les twin Center ou encore la tour CFC. Nichée dans un écrin verdoyant, la résidence est fermée assurant ainsi la tranquillité et la sécurité de ses habitants. La première tranche se développe autour de 6 immeubles en R+3 tous équipés d’ascenseur et d’un grand espace de stationnement en sous-sol.
La conception des plans, l’aménagement des volumes et le soin apporté aux finitions assurent un confort et une qualité de vie incomparable aux résidents.
La superficie des appartements varie de 76m² à 144m² et bénéficient tous d'une double orientation. Les appartements sont composés de 2 ou 3 chambres, d’un salon et d’cuisine italienne équipée ; les portes sont en chêne naturel et le sol en marbre Perlatino.

Pour plus d’information
Un bureau de vente est à votre disposition du lundi au samedi de 10h à 19h."
Bella Vista Appart-Hôtel,https://www.mubawab.ma/fr/p/2517/bella-vista-appart-h%C3%B4tel,Publié il y a plus de 6 mois,Plage Oued Cherrat à Bouznika,À partir de 810 000 DH,Not found!,"['Haut standing', 'En cours de construction', 'Livraison janvier 2021']","Le projet Bella Vista prévoit la construction d’une 3ème tranche, composée de 3 immeubles sous forme d’une Résidence Immobilières de Promotion Touristique qui octroie des avantages fiscaux aux acquéreurs. L’immeuble contient 4 types d’appartements avec balcon ou balcon et jardin d’une superficie totale de 60m², 90m² à 120m² :

Le bâtiment disposera de 3 ascenseurs également d’une supérette et d’une lingerie au rez de jardin, et sera doté de 2 piscines en terrasse, d’un coffee shop, d’une salle de fitness, d’un hammam et sauna, ainsi qu’un centre de relaxation.

**MESSAGE IMPORTANT**

1) L'écrasante majorité des copropriétaires sont très satisfaits de leurs acquisitions et mettent en relief la qualité des appartements, la quiétude environnante et le sentiment de bien-être.
2) Cette satisfaction est également confortée par le taux de recouvrement des cotisations qui dépasse les 95%, ce qui prouve que les copropriétaires sont heureux et déterminés à préserver leur patrimoine commun en participant activement aux décisions de gestion et massivement aux dépenses communes.
3) Lors de cette AG, les copropriétaires présents ont applaudi le promoteur qui a offert aux acheteurs des espaces verts généreux et de belles piscines. Ils ont également applaudi le président du Conseil Syndical sa gestion en bon père de famille.
4) Une copie de ce PV est disponible aussi bien auprès de la Sté Bella Vista que du syndic général de la résidence"
Dyar Al Baidae,https://www.mubawab.ma/fr/p/3467/dyar-al-baidae,Publié il y a plus de 6 mois,Lakhiaita,À partir de 180 000 DH,9 500DH / m²,"['Économique', 'Finalisé']","Votre rythme de vie vous impose d’habiter près du centre mais vous désirez le calme ? Dyar Al Baidae, un projet de logement social exceptionnel, vient s’installer à l’emplacement idéal entre bien-être et proximité !

À la nouvelle ville de Lakhyayta, la résidence Dyar Al Baidae met à votre disposition des appartements de deux chambres à partir de 50 m², pour le prix imbattable d’à partir de 180 000 DH. Ainsi que des locaux commerciaux pour servir les résidents du projet, avec des superficies à partir de 25m² et à uniquement 9 500 dh/m²!

Au juste milieu entre Dar Bouazza, Casablanca et Had Soualem, la nouvelle ville de Lakhyayta fait profiter la résidence Dyar Al Baidae d’un emplacement unique et privilégié:

- À proximité de commerces, écoles, terrains de sport et mosqué
- À 13km de Sidi Rahal, à 20km du centre de Casablanca"
Plateaux Bureaux ICHRAK BUSINESS CENTER,https://www.mubawab.ma/fr/p/946/plateaux-bureaux-ichrak-business-center,Publié il y a plus de 6 mois,Lissasfa à Casablanca,À partir de 448 500 DH,Not found!,"['Haut standing', 'Finalisé']","ICHRAK BUSINESS CENTER, projet signé ASTA IMMOBILIER.
Le projet ICHRAK BUSINESS CENTER dédié à 100 % aux plateaux bureaux et étalé sur une superficie de plus de 11 Hectares à pour vocation de devenir le nouveau centre d'affaire de référence, un hub incontournable, pour tous les grands groupes et leurs filiales ainsi que les particulier.

ICHRAK BUSINESS CENTER est situé sur le quartier d'affaires de LISSASFA est plus précisément à la nouvelle rocade SUD-OUEST, une région en plein essor aujourd'hui grâce à ces échangeurs permettant un accès facile à plusieurs routes.

Nos Services :

- Système TV avec parabole collective
- Service d'accueil
- Sécurité : Télésurveillance & Agents de sécurité
- Parking sous-sol (*En Option)
- Détecteurs d’incendies
- Ascenseurs


Proximités :

0.5 km de plusieurs PME et entreprises nationales et internationales.
3 kms de l’échangeur autoroutier Casa/El Jadida/Safi, soit 5 min
5 Kms du Technoparc et du centre commercial Marjane, soit 10 min
6 kms de l’entrée de Casablanca et de l’OCP par la route d’El Jadida, soit 10 min
6 kms des plages de Casablanca, soit 10 min
6 kms de la zone de Sidi Mâarouf et de la PII Casanearshore, soit 10 min
7 kms de l’échangeur autoroutier Casa/Rabat/Marrakech, soit 10 min
7 kms de la Gare Oasis soit, 10 min
9 Kms du Morocco Mall et de la Corniche, soit 15 min
14 Kms de la Vieille ville, soit 20 min
25 Kms de l’aéroport de Casablanca, soit 30 min

L’environnement immédiat se caractérise également par la proximité des facultés, d’une zone d’activité regroupant de nombreuses enseignes commerciales (magasins spécialisés, concessionnaires automobiles, salle des fêtes, industries légères etc.)."
Résidence La Cazelle,https://www.mubawab.ma/fr/p/3332/r%C3%A9sidence-la-cazelle,Publié il y a plus de 6 mois,Oasis à Casablanca,À partir de 1 500 000 DH,16 000DH / m²,"['Haut standing', 'Finalisé']","Résidence la Cazelle conçue et réalisée dans le plus grand respect des normes de qualité et d'excellence qui font la réputation du Maitre d’ouvrage

En plein cœur de l’Oasis, bénéficient d’une situation privilégiée, à quelques minutes des commodités nécessaires au quotidien (supermarchés, écoles, mosquée, hôpitaux, gare de train …) Elles ont pour ambition d’offrir à ses futurs occupants

Elle est composée d’un immeuble de haut standing contenant des appartements de 2 a 3 chambres d’une superficie variant de 88 à 123 m²

FINITIONS LUXUEUSES :

• Ascenseur (sheindler)
• Cuisine équipée (Frank)
• Parking Double sous-sol
• Marbre
• Climatisation
• Caméra de surveillance
• Vidéophone
• Sanitaire importé Belgique
• Peinture Khayal
• Bois Massif"
Résidences Al Mansour Zenata,https://www.mubawab.ma/fr/p/3469/r%C3%A9sidences-al-mansour-zenata,Publié il y a plus de 6 mois,Zenata,À partir de 270 000 DH,Not found!,"['Moyen standing', 'Finalisé']","Au cœur d’un des bassins les plus dynamiques de l’emploi au Maroc, la nouvelle ville de Zenata, deux tranches d’une résidence soulignée par de la verdure vous attendent pour vous garantir une vie active et confortable.

Le projet est mis en place en deux tranches, afin de répondre à toutes les attentes et tous les budgets. La première tranche sont des appartements moyen standing avec des surfaces entre 61 et 92 m² et jusqu’à trois chambres, pour un prix incroyable de 4 200/m ² ! La deuxième tranche sont des appartements de logement social, les superficies sont à partir de 50 m² et les prix sont à 250 000 dh !

La résidence propose également des locaux commerciaux, qui profiteront de l’environnement pour rentabiliser au maximum leurs enseignes. Ces locaux ont de large choix de superficie à partir de 24m² et sont au prix abordable de 12 000/m².

Étant donné l’emplacement privilégié de la résidence, elle profite d’une proximité non seulement à tous les pôles d’emploi de la région, mais aussi de toutes les commodités nécessaires à la vie quotidienne :

- Commerces, cafés et pharmacie
- Écoles et mosquée
- Ligne de bus
- Terrains de sport
- À 6 km de Mohammedia et 13 km de Casablanca"
Résidence Rania 2,https://www.mubawab.ma/fr/p/3189/r%C3%A9sidence-rania-2,Publié il y a plus de 6 mois,Errahma,À partir de 570 000 DH,8 000DH / m²,"['Moyen standing', 'Finalisé', 'Livraison mars 2020']","1 Appartement acheté = Un Salon Meublé OFFERT

Conçue par un architecte de renom, la résidence Rania 2 vous propose des appartements de standing dontl’objectif principal estle confort de leurs futurs habitants.Le projet vous propose un ensemble architectural moderne, bien pensé et épuré.

• À partir de 570 000 DH soit 8000 DH/m²
• Superficie allant de 72 à 87 m²
• Sol en marbre Perlatino dans toutes les pièces
• Cuisine entièrement équipée
• Salles de bains en marbre avec sanitaire Roca
• Parking sous-sol
• Ascenseur
• Espaces verts
• sécurité 24h/24
• Prix 100% déclaré.

N’attendez plus, votre appartement au projet Rania 2 vous attend."
Résidence Vicensa,https://www.mubawab.ma/fr/p/2915/r%C3%A9sidence-vicensa,Publié il y a plus de 6 mois,Californie à Casablanca,Prix à consulter,Not found!,"['Haut standing', 'Finalisé']","Si vivre dans une résidence qui fait de votre confort son leitmotiv, tout cela dans un quartier fastueux et idéalement situé à Casablanca fait partie de vos priorités, alors la résidence Vicensa est faite pour vous. Sont mis à votre disposition dans cette résidence, située au quartier prisé de Californie, des appartements de haut standing d’une superficie allant de 94 à 171 m².

La résidence Vicensa a été pensée de manière à vous permettre de jouir du confort que vous méritez. En effet, tout a été fait pour que vous puissiez profiter pleinement de votre vie de famille : parking au sous-sol, ascenseur OTIS, installation de parabole… tout cela dans un environnement sécurisé et réconfortant.

Les appartements de la résidence Vicensa quant à eux, disposent d’équipements de qualité et de finitions irréprochables :
- Superficies : 94m², 121m², 156m², 171m²
- 2 Appartements par étage
- Appartements de 3 chambres + salon
- Cuisine équipée (Trio Frank)
- Climatisation
- Double vitrage
- Marbre importé de Turquie
- Parquet dans les chambres importé de Suisse
- Sanitaire de la marque ROCA
- Robinetterie IBERGRIF
- Aluminium ALUMA 7mm
- Tableau électrique INGELEC
- Peinture Fayrouz

Le quartier Californie quant à lui, n’est pas prisé sans raisons. Ce quartier, qui est majoritairement composé de villas, offre un cadre de vie agréable entre espaces verts et proximité avec les plus grandes artères de Casablanca. En optant pour la résidence Vicensa, vous êtes donc certains d’être au plus proche de toutes les commodités nécessaires à votre quotidien :
- A 5 minutes de l'autoroute et de la ville verte
- Hypermarchés (Marjane, ACIMA, BIM)
- Galerie marchande
- Hôpitaux et cliniques
- Cafés et restaurants
- A 20 minutes de l'aéroport Med 5

Pour toute information complémentaire, prenez contact avec notre équipe de professionnels qui saura répondre à toutes vos interrogations."
Central Square Hay Hassani,https://www.mubawab.ma/fr/p/3488/central-square-hay-hassani,Publié il y a 2 mois,Hay Hassani à Casablanca,À partir de 1 055 000 DH,11 250DH / m²,"['Haut standing', 'En cours de construction', 'Livraison novembre 2022']","Le projet « Central Square Hay Hassani » : une Résidence Haut de gamme et hyper centrale a un prix jamais vu, Offre de lancement les 3 premiers mois à partir de 11 250MAD*/m² !
Faites l’acquisition de votre appartement pour seulement 4 650dh/mois* !

« Central Square Hay Hassani » est une résidence composée de 55 appartements en 2 et 3 chambres, idéalement située dans l’un des quartiers les plus animés de Casablanca, à l’intersection des boulevard Abou Regreg et Oued Laou et en face de Marjane Hay Hassani.

La résidence est un havre de paix urbain avec de réelles prestations incluant une salle de sport équipée à usage exclusif des copropriétaires et une salle de jeu exclusivement dédiée au bonheur de vos enfants! Vous n’achetez pas juste un appartement mais un cadre de vie complet.
Il existe 2 types d’appartements :
- F3 à partir de 87 m² incluant une place de parking titrée
- F4 à partir de 116 m² incluant une place de parking titrée

Le projet dispose de deux entrées sur Boulevard et Rue, ainsi que de 4 ascenseurs pour un confort ultime des usagers.

Un système de video surveillance 24h/24

Son emplacement stratégique en face d’un ensemble résidentiel villa, offre une vue totalement dégagée sur les nouvelles tours du quartier CFC se situant à 1km, une proximité immédiate avec les transports en commun (tramway, arrêt de bus et taxi) et toutes les commodités à savoir : supermarchés Marjane en face, marchés, écoles, crèches, restaurants

Des appartements optimisés alliant confort et durabilité
- Conception architecturale de prestige fonctionnelle avec peu de perte d’espace
- Revêtement Marbre Crema Royal
- Cuisine design moderne et matériaux haut de gamme équipée de Four, Hotte, Mitigeur et Plaque
- Salles de bain haut de gamme agréables et fonctionnelles avec sanitaires et robinetterie haut de gamme.
- Isolation phonique et thermique
- Volets roulants électriques
- Système de climatisation murale en split system préinstallé dans le salon et la suite parentale
- Parquet stratifié dans les chambres à coucher
- Fibre optique et Pré-Installation Parabole
- Menuiseries bois et aluminium de premier choix
- Large placard dans toutes les chambres et dressing dans les chambres parentales
- Places de parking titrée

Points fort du projet :
- Localisation Hyper centrale
- Prestation haut de gamme
- Agencement des appartements optimal
- Double dressing chambre parentale
- En face d’un environnement villas avec vue dégagée

Commodités :
- A proximité de toutes les commodités : Marjane, Macdonalds, Marchés, transports bus tramway taxi, écoles, crèches

Promotions :
- Offre de lancement à partir de 11 250dh/m²
- Durée de l’offre : 3Mois

*Pour en savoir plus sur les détails de l'offre, contactez-nous"
Serena Park BOUSKOURA,https://www.mubawab.ma/fr/p/1277/serena-park-bouskoura,Publié il y a 2 mois,Bouskoura,À partir de 3 800 000 DH,Not found!,"['Haut standing', 'Finalisé', 'Livraison janvier 2018']","Au cœur de la nouvelle ville verte de Bouskoura, Serena Park vous offre un niveau de prestations inégalé.

Découvrez vite cette somptueuse résidence de très haut standing située en bordure de forêt.

Le projet SERENA Park ambitionne de combler un segment important de clientèle en proposant une superficie globale de 25 922 m², comprenant 7837 m² d’espaces verts et une piscine de 1000 m².

Cet édifice, construit sous forme de complexes résidentiels, comprend 14 immeubles regroupant 96 appartements de très haut standing parfaitement finis en plus de 2 places de parking pour chaque appartement. Autrement dit, une qualité supérieure alliant confort au quotidien et prestige. Ce projet propose six à neuf appartements seulement par immeuble sur deux étages (R+2), conférant ainsi une large superficie aménagée pour chaque appartement.

L'architecture moderne et authentique, en plus du choix raffiné et sophistiqué des couleurs s'expriment sur des surfaces variant de 200 m² à 425 m², avec jardins privatifs au rez-de-chaussée.
Serena Park offre tout ce dont vous rêvez : Un cadre raffiné, le luxe de grandes surfaces lumineuses, la tranquillité d’esprit, la proximité avec la ville… une véritable qualité de vie pour une clientèle exigeante.

En plus de toutes ses qualités, Serena Park est un projet immobilier entièrement fini et prêt à vivre, dès maintenant !

UN CADRE IDYLLIQUE

Le projet architectural a été conçu comme un complexe résidentiel R+2 composé de 14 immeubles.

Chacun accueille entre 6 et 9 appartements seulement. L'ensemble de la propriété se situe en bordure de forêt, sans vis-à-vis et offre des vues imprenables sur la nature.

Côté intérieur, la vue sur l'immense piscine comprenant une belle fontaine, invite à la détente et à la sérénité.

Les espaces verts entretenus apportent une touche finale à ce cadre exceptionnel."
Les collines de Dar Bouazza,https://www.mubawab.ma/fr/p/2187/les-collines-de-dar-bouazza,Publié il y a 2 mois,Dar Bouazza,À partir de 2 150 000 DH,13 000DH / m²,"['Haut standing', 'Finalisé']","Le projet ""LES COLLINES DE DAR BOUAZZA"" développé par la société BEAURIVAGE Immobilier, est situé sur la route d’Azemmour en face de la commune de Dar Bouazza à Casablanca .

L’ensemble résidentiel est constitué sous forme d’immeubles en sous-sol et R+2 à seulement 10 Min du Morocco Mall.

La Résidence est composé de 2 piscines en cascade, d’espaces verts, d'air de jeux pour enfant, et d’une salle de sport professionnelle gratuite .

Un parking en sous-sol offre des places titrés pour tous les appartements de la résidence .

Les surfaces disponibles varient entre 132 et 178 m²

Tous les appartements disposent d’une chambre de personnel avec salle de bain et d’une terrasse allant de 7m² à 20 m².

Conçue autour d’une architecture moderne et raffinée, le projet met à la disposition de ses résidents un cadre de vie agréable à travers des prestations de qualité telles que :

- Construction de Qualité
- Finition Premium
- Cuisine équipée trio Bosch
- Parquet
- Rideaux électriques.
- Revêtement SDB parent entièrement en marbre de premier choix
- Marbre au sol Perlatino 1er choix
- Climatisation gainable
- Sanitaire Jacob Delafon
- Lumière décorative en LED
- Parking
- Accès Contrôle
- Domotique
- Caméra de sécurité
- Menuiserie de très haute qualité ""importation Espagnole""
- Tous les appartements sont traversants et offrent une vue imprenable sur la piscine et l'espace vert .
- Piscine Semi olympique de 25 mètres
- Salle de sport dotée d’équipement professionnelle américain
- Ascenseurs Haut de Gamme Schindler
- Une installation complète de paraboles communes par immeuble orientés vers 2 satellites en toiture unifiées sur un câble répartiteur vers tous les appartements.

Tous les appartements sont équipés de Domotique (contrôle centralisé des rideaux et de la lumière)."
RÉSIDENCE M – BOUSKOURA,https://www.mubawab.ma/fr/p/3480/r%C3%A9sidence-m-%E2%80%93-bouskoura,Publié il y a 2 mois,Bouskoura,À partir de 750 000 DH,10 000DH / m²,"['Moyen standing', 'Finalisé', 'Livraison décembre 2021']","RÉSIDENCE M – BOUSKOURA est un ensemble d’appartements de charme, situé au cœur de la ville de Bouskoura, à quelques mètres des principales commodités.

Pensée telle une résidence fermée, le projet propose 27 appartements de 70 à 95m², de 2 à 3 chambres, et est doté d’une cour intérieure végétalisée et dédiée uniquement aux résidents, pour le plus grand bonheur des petits et grands.

Les finitions de nos appartements répondent aux standards des clients les plus exigeants :

- Revêtement sol en marbre type Crema marfil
- Chambres dotées d'espaces de rangement et de parquet au sol
- Salles de bain de standing avec sanitaires suspendus (Jacob Delafon)
- Cuisine équipée d'un trio d'électroménager de la marque Silverline
- Climatisation centralisée de la marque Hitachi

Et pour votre confort, la RÉSIDENCE M – BOUSKOURA est doté d'un ascenseur de la marque Schindler, et d'un garage sous-sol.

Offrez-vous un foyer dans un environnement pur et sain, accessible à tous ce dont vous aurez besoin pour votre quotidien."
Résidence Anaeim,https://www.mubawab.ma/fr/p/3358/r%C3%A9sidence-anaeim,Publié il y a 2 mois,Bouskoura,À partir de 810 000 DH,Not found!,"['Haut standing', 'Finalisé']","Entre ville et forêt, la Résidence Anaeim priorise votre confort et un cadre de vie serein, idéal pour votre vie de famille. Ses appartements haut standing, finis et construits avec les plus nobles des matériaux, ne laissent rien passer avant votre bien-être !

Avec des superficies allant de 81 m² à 124 m², les appartements de 2 à 3 chambres avec dressing disposent d’équipements et finitions de luxe ! La résidence mets également à votre disposition des locaux commerciaux profitant de cet environnement résidentiel pour vos activités commerciales !

Du marbre au sol au visiophone et caméras de surveillance, aucun détail n’a été mis de côté au service de votre ultime aisance. La résidence jouit également d’un emplacement privilégié, à quelques minutes d’écoles, supermarchés!

- Cuisine équipée d’un trio de la marque Frank
- Sanitaire de la marque Roca
- Peinture Khayal
- Marbre importé de Turquie
- Bois de chêne
- Une place de parking gratuit
- Visiophone de la marque Comax
- Caméras de surveillance
- Ascenseur Schindler


À la Résidence Anaeim, vous n’êtes pas entourés que de verdure:

- À proximité de commerces, supermarchés, écoles, mosqués et restaurants
- A quelques minutes d’un arrêt de bus et à 5minutes de la sortie d’autoroute"
Résidence La Cazelle,https://www.mubawab.ma/fr/p/3332/r%C3%A9sidence-la-cazelle,Publié il y a 2 mois,Oasis à Casablanca,À partir de 1 500 000 DH,16 000DH / m²,"['Haut standing', 'Finalisé']","Résidence la Cazelle conçue et réalisée dans le plus grand respect des normes de qualité et d'excellence qui font la réputation du Maitre d’ouvrage

En plein cœur de l’Oasis, bénéficient d’une situation privilégiée, à quelques minutes des commodités nécessaires au quotidien (supermarchés, écoles, mosquée, hôpitaux, gare de train …) Elles ont pour ambition d’offrir à ses futurs occupants

Elle est composée d’un immeuble de haut standing contenant des appartements de 2 a 3 chambres d’une superficie variant de 88 à 123 m²

FINITIONS LUXUEUSES :

• Ascenseur (sheindler)
• Cuisine équipée (Frank)
• Parking Double sous-sol
• Marbre
• Climatisation
• Caméra de surveillance
• Vidéophone
• Sanitaire importé Belgique
• Peinture Khayal
• Bois Massif"
Les Princesses,https://www.mubawab.ma/fr/p/3519/les-princesses,Publié il y a 2 mois,Les princesses à Casablanca,À partir de 1 501 000 DH,Not found!,"['Haut standing', 'Finalisé']","Au coeur de l’un des quartiers les plus chics et centrals de Casablanca, la résidence Les Princesse s’élève au milieu d’un environnement serein. Sa façade ultra-moderne abrite des appartements dont l’architecture est tout aussi soignée, un véritable écrin de l’art de vivre urbain.

Les appartements haut standing de 78m² à 88m² sont conçus de manière à optimiser la lumière dont vous fait profiter l’énorme double façade, ainsi qu’à vous faire bénéficier des plus hautes gammes de finitions:
- Cuisine équipée de trio
- Parquets dans les chambres
- Sol en marbre
- Climatisation
- Terrasses
- Sanitaires haut de gamme

Afin de vous plonger éntièrement dans une bulle urbaine de confort, la résidence est privilégiée par un emplacement à proximité de toutes les commodités et vos besoins quotidiens:
- Écoles, collèges et lycées
- Pharmacies, cliniques, cabinets de médecins
- Cafés, restaurants, fast food
- Commerces, mall, hypermarchés et supermarchés
- Salles de sport et hammams
- À 8 minutes pietonnes de boulevard Ghandi

Remplissez le formulaire et profitez d’un cadre de vie inégalée au centre de Casablanca !"
Lotissement Miftah El Kheir Settat R+2 à R+5,https://www.mubawab.ma/fr/p/2725/%D8%AA%D8%AC%D8%B2%D8%A6%D8%A9-%D9%85%D9%81%D8%AA%D8%A7%D8%AD-%D8%A7%D9%84%D8%AE%D9%8A%D8%B1-%D8%A8%D8%B3%D8%B7%D8%A7%D8%AA,Publié il y a 2 mois,Hay salam à Settat,À partir de 415 000 DH,Not found!,"['Haut standing', 'Finalisé']","Situé à 40 minutes de Casablanca, et sur près de147 Ha, le projet Miftah El Kheir vous propose des lots de terrains équipés de type R+2 à R+5, villas, lots commerciaux, Hammams, écoles privées, ainsi que de nombreux équipements socio-économiques, couvrant de tous les besoins"
Résidence Platinia,https://www.mubawab.ma/fr/p/2839/r%C3%A9sidence-platinia,Publié il y a 2 mois,Benjdia à Casablanca,À partir de 725 000 DH,14 000DH / m²,"['Haut standing', 'Finalisé', 'Livraison janvier 2021']","Le raffinement et la modernité au service d’une ambiance cosy.

Le projet Résidence Platinia s’inscrit dans une volonté d’offrir un cadre de vie agréable et optimisé pour une clientèle jeune, active et exigeante.
Niché au cœur du quartier Alsace Lorraine à ""Benjdia"", le projet Résidence Platinia propose un projet en R+5 composé de studios Haut Standing allant de 46 à 69 m² ainsi que des locaux commerciaux au rez-de-chaussée.

Hors son emplacement stratégique, à une dizaine de minutes de la place des Nations Unies et de l’avenue des FAR ainsi qu’à 20 minutes de la Marina de Casablanca, la résidence propose des studios très bien agencés à un prix de lancement à partir de 690 000 Dhs.

Par ailleurs, faisant l’objet d’une forte demande de logements, le quartier “Benjdia” permet de bénéficier d’une importante rentabilité locative.

Le projet Platinia a spécialement pensé à votre confort et bien-être puisque les matériaux utilisés sont haut de gamme et la finition Premium.

Par ailleurs, les façades de l’immeuble dévoilent des volumes aérés et des hauteurs équilibrées. Le tout pour créer un ensemble esthétique et harmonieux.
Ainsi, chaque mètre carré a été optimisé afin de vous garantir des habitations faciles à vivre.

De plus, supermarchés, cafés, restaurants, cliniques, pharmacies, écoles, salles de sport et cinéma sont les commodités à proximité directe de la résidence. Ainsi vous aurez tout le loisir de vous balader dans les alentours pour découvrir des endroits plus animés les uns que les autres et ce dans une ambiance conviviale.

En définitive, choisir la résidence Platinia, c’est s’offrir l’ensemble des avantages suivants :
● Projet en R+5 (RDC commercial)
● Forte rentabilité locative
● Des studios très bien agencés.
● Superficies allant de 47 m² à 69 m².
● Finition Premium
● Cuisine équipée haut de gamme.
● Salle de bain avec douche italienne.
● Revêtement en parquet dans tout l'appartement.
● Climatisation centralisée.
● Place de parking au sous-sol sur 2 niveaux.
● Livraison Octobre 2020."
